Parti;Forkortelse;ID;Farve;Valg;Stemmetal;Pct. af stemmer;Mandater;Mandatprocent;Regeringsparti;Statsministerparti;Partileder;Note
Det Konservative Folkeparti;K;3;#4c962f;22-04-1918;167.743;18,29%;22;15,83%;FALSK;FALSK;Emil Piper;
Socialistisk Arbejderparti;SA;10;#ed5741;22-04-1918;1.410;0,15%;0;0,00%;FALSK;FALSK;Thøger Thøgersen;
Erhvervspartiet;EP;9;#7896d2;22-04-1918;11.934;1,30%;1;0,72%;FALSK;FALSK;Peter Elfelt;
Det Nye Højre;NH;7;#41835c;22-04-1918;4.764;0,52%;0;0,00%;FALSK;FALSK;Poul Jacobsen;
Det Uafhængige Socialdemokrati;US;8;#e0b183;22-04-1918;1.086;0,12%;0;0,00%;FALSK;FALSK;V. Nicolaisen;
Vælgerforeningen af 1918;VF;11;#000000;22-04-1918;4.407;0,48%;0;0,00%;FALSK;FALSK;Valdemar Harsløf;
Uden for partierne;Uden;99;#a5a5a5;22-04-1918;3.622;0,40%;1;0,72%;FALSK;FALSK;;
Socialdemokratiet;S;1;#cf1b42;16-04-1920;300.345;29,32%;42;30,22%;FALSK;FALSK;Thorvald Stauning;
Det Radikale Venstre;RV;4;#7d329b;16-04-1920;122.160;11,93%;17;12,23%;FALSK;FALSK;Carl Theodor Zahle;
Venstre;V;2;#115eb0;16-04-1920;350.563;34,23%;48;34,53%;SAND;SAND;J.C. Christensen;
Det Konservative Folkeparti;K;3;#4c962f;16-04-1920;201.499;19,67%;28;20,14%;FALSK;FALSK;Emil Piper;
Erhvervspartiet;EP;9;#7896d2;16-04-1920;29.464;2,88%;4;2,88%;FALSK;FALSK;Peter Elfelt;
Danmarks Venstresocialistiske Parti;DVP;13;#e6801a;16-04-1920;3.859;0,38%;0;0,00%;FALSK;FALSK;Ernst Christiansen;
Centrum;CE;12;#f49821;16-04-1920;9.056;0,88%;0;0,00%;FALSK;FALSK;L.V. Birck;
Det Frie Socialdemokrati;FS;14;#970647;16-04-1920;7.260;0,71%;0;0,00%;FALSK;FALSK;Emil Marott;
Socialdemokratiet;S;1;#cf1b42;06-07-1920;285.166;29,91%;42;30,22%;FALSK;FALSK;Thorvald Stauning;
Det Radikale Venstre;RV;4;#7d329b;06-07-1920;109.931;11,53%;16;11,51%;FALSK;FALSK;Carl Theodor Zahle;
Venstre;V;2;#115eb0;06-07-1920;344.351;36,11%;51;36,69%;SAND;SAND;J.C. Christensen;
Det Konservative Folkeparti;K;3;#4c962f;06-07-1920;180.293;18,91%;26;18,71%;FALSK;FALSK;Emil Piper;
Erhvervspartiet;EP;9;#7896d2;06-07-1920;25.627;2,69%;4;2,88%;FALSK;FALSK;Peter Elfelt;
Danmarks Venstresocialistiske Parti;DVP;13;#e6801a;06-07-1920;2.439;0,26%;0;0,00%;FALSK;FALSK;Ernst Christiansen;
Centrum;CE;12;#f49821;06-07-1920;2.931;0,31%;0;0,00%;FALSK;FALSK;L.V. Birck;
Det Frie Socialdemokrati;FS;14;#970647;06-07-1920;2.793;0,29%;0;0,00%;FALSK;FALSK;Emil Marott;
Socialdemokratiet;S;1;#cf1b42;21-09-1920;389.653;32,16%;48;32,43%;FALSK;FALSK;Thorvald Stauning;
